titol,preu,venedor,label,catalog_number,media_condition,sleeve_condition,rating,shipped_from,link
"Glenn Echo (3), Daniel Meinecke - What Happened to Yesterday? Vol. 1 (LP, Tra)",€23.99,Dinamo_Records,MotorCity Wine Recordings,MCWR015,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:Italy,https://www.discogs.com/sell/item/3272166875
"Pino Presti & Garden Planet - Sharade (LP, Album, Ltd)",€10.99,Dinamo_Records,Private Recordings (2),"P-0475001, 0475001","Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:Italy,https://www.discogs.com/sell/item/3886269913
Samuele Strufaldi - Davorio (LP),€39.88,Lot.Of.Music,Musica Macondo,MM005,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:Netherlands,https://www.discogs.com/sell/item/3814901870
"BlankFor.ms, Jason Moran, Marcus Gilmore - Refract (2xLP, Album)",€51.88,Lot.Of.Music,Red Hook Records (4),RH1004,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.00,Ships From:Netherlands,https://www.discogs.com/sell/item/3493152249
"John Raymond (4), S. Carey (2) - Shadowlands (LP, Album, Ltd, Cle)",€30.88,Lot.Of.Music,Libellule Editions,LE1001,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.80,Ships From:Netherlands,https://www.discogs.com/sell/item/3493152264
"Jon Hassell - The Surgeon Of The Nightsky Restores Dead Things By The Power Of Sound (LP, Album, RE, RM, 180)",€35.88,Lot.Of.Music,Intuition Records,INT 3004 1,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.86,Ships From:Netherlands,https://www.discogs.com/sell/item/3859512547
"Free The Robots / Gianni Safred - Autumn 2021 / Autumn 2001 (7"", Ltd)",€20.88,Lot.Of.Music,Four Flies Records,RLV 45-01,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.67,Ships From:Netherlands,https://www.discogs.com/sell/item/3493148061
"Psyché (4) - Psyché (LP, Album)",€29.88,Lot.Of.Music,Four Flies Records,FLIES 59,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.35,Ships From:Netherlands,https://www.discogs.com/sell/item/3545148437
"Alessandro Alessandroni - Alessandroni Proibito, Vol. 2 (Music from Red Light Films 1976-1980) (5x7"" + Box, Ltd)",€120.88,Lot.Of.Music,Four Flies Records,"FLIES BX-02, FLIES 45-55, FLIES 45-56, FLIES 45-57","Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),4.90,Ships From:Netherlands,https://www.discogs.com/sell/item/3841649224
"Fratelli Malibu - Tema Di Susie Reloved (12"")",€21.88,Lot.Of.Music,Four Flies Records,RLV 02,"Mint (M)

                    



                                                Absolutely perfect in every way",Mint (M),5.00,Ships From:Netherlands,https://www.discogs.com/sell/item/3493147923
